"name","median_t","t_quant_2.5","t_quant_97.5","median_wide","wide_quant_2.5","wide_quant_97.5","median_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"K.JUVAN",0.368864546039219,0.298859985722644,0.442417108761002,0.452940220315248,0.382014921655154,0.52773610691113,0.17578782455861,0.120189069110303,0.240109421791238,"Women",1,129
"K.KANEPI",0.325492891907678,0.25872747963822,0.395890605209303,0.42884216715853,0.356696293839937,0.502930646997181,0.243631486172951,0.179910074618512,0.314328030510847,"Women",1,123
"K.MLADENOVIC",0.373020606519233,0.317631268241624,0.428838477529731,0.400463694455221,0.344303863327133,0.458415946088946,0.22539816817718,0.176436787151075,0.279630705953716,"Women",3,249
"K.NARA",0.342863626793124,0.261216575446518,0.427716609076867,0.381892080688635,0.303550386721093,0.463290958859065,0.271914692405024,0.190480216622808,0.366905972065832,"Women",1,74
"K.SINIAKOVA",0.496707391044456,0.436558911233618,0.560703936570542,0.272645158314324,0.220939899022797,0.32723160127173,0.228796649403713,0.178462371478931,0.28471218091844,"Women",3,211
"K.ZAVATSKA",0.290348424450166,0.222652342293017,0.364695765823654,0.306380397947787,0.237534809696634,0.381922282265437,0.401174054982077,0.315016822699201,0.489760204368003,"Women",1,101
"Ka.PLISKOVA",0.44429153780882,0.396210018488086,0.492279230398087,0.419594214119272,0.373663899641532,0.468083853976238,0.135219376401068,0.10338782653804,0.172503965669636,"Women",4,354
"Kr.PLISKOVA",0.4957493442547,0.411433519165156,0.58057403927927,0.342088468964351,0.268999008157607,0.421030772103769,0.159754576227338,0.104955233663403,0.231316960492555,"Women",1,97
"L.FERNANDEZ",0.388365457879485,0.316790227967944,0.461950194260781,0.352485863434192,0.287054993613254,0.422530046146152,0.257699155110235,0.192160577065141,0.332618875161879,"Women",1,121
"L.SAMSONOVA",0.343187714744991,0.27287906898533,0.416115876603392,0.42592671878347,0.352778572963205,0.505066313973712,0.228618853758723,0.165815462811066,0.300567165188129,"Women",1,123
"L.SIEGEMUND",0.251397200718086,0.194892074806275,0.312686042733122,0.319519756796255,0.258382275994353,0.383762016758477,0.427103457628363,0.356688972558446,0.501612882896173,"Women",2,162
"L.TSURENKO",0.351998555087724,0.267724600831719,0.441784801947498,0.281827960651511,0.205821960717608,0.365094289426673,0.364707564233254,0.264838680132449,0.469361526349698,"Women",1,63
"M.BARTHEL",0.437135930643225,0.351851989484953,0.524364448579133,0.352259297704749,0.276845829309311,0.43297640236957,0.207952611760791,0.139606121134653,0.291810628244069,"Women",1,83
"M.BRENGLE",0.280376563585128,0.197794263552526,0.370109249351468,0.360824724525516,0.272454028902743,0.456868406614973,0.356180209356916,0.254121165617816,0.470613729042172,"Women",1,52
"M.DOI",0.412926276972016,0.337351623570222,0.494363790671003,0.348611136034039,0.27510744457968,0.422047159482881,0.236448576557612,0.168273263271106,0.31678046346823,"Women",1,104
"M.KEYS",0.45318674591296,0.395868561147308,0.511591606561693,0.367875810360417,0.312503577862086,0.426621254553595,0.177152905626522,0.133634960431387,0.227211614056487,"Women",3,221
"M.LINETTE",0.479657381529514,0.412199712168085,0.548814724054342,0.410293940931223,0.347579535508868,0.475810404292366,0.108706090976056,0.0702641578420479,0.155537758679423,"Women",1,156
"M.SHERIF",0.402990456072354,0.334280465009115,0.475260775648701,0.342924478484698,0.277769656278913,0.413243728221033,0.252980152569428,0.189127812186678,0.320681665803038,"Women",1,132
"M.TREVISAN",0.340178701480487,0.275012872517795,0.407522988573933,0.305113568258282,0.243264377036521,0.374368603735888,0.353136557346511,0.281606947564537,0.429718416151553,"Women",2,151
"M.VONDROUSOVA",0.482057992303728,0.421432841072226,0.542745038928971,0.262646627670888,0.211650307818514,0.317935388185692,0.254293437624994,0.201349609114179,0.313038820422901,"Women",3,218
"N.OSAKA",0.458709873397636,0.409905382623525,0.508066497271868,0.401036109919049,0.35501508508732,0.452558546419608,0.138927226252064,0.10479171696965,0.176743321652712,"Women",3,330
