"name","median_t","mean_t","sd_t","t_quant_2.5","t_quant_97.5","median_wide","mean_wide","sd_wide","wide_quant_2.5","wide_quant_97.5","median_body","mean_body","sd_body","body_quant_2.5","body_quant_97.5","gender","num_matches","num_serves"
"R.CARBALLESBAENA",0.413802191820012,0.413877713290125,0.0249970373064225,0.365187161340861,0.463039096589585,0.438977120207717,0.438980972822321,0.0248210489721362,0.391952107138577,0.488702932276671,0.146275824229227,0.147141313887555,0.0203032228869316,0.109929242157917,0.188295916779522,"Men",1,260
"R.FEDERER",0.47810181639592,0.478307723288005,0.0192854943178064,0.44060822192857,0.51695134515812,0.443751744660206,0.443615908315192,0.0185432200578919,0.407680430311749,0.480053751682656,0.0773311671627754,0.0780763683968024,0.0105404583141487,0.0589124123628751,0.0999629519342983,"Men",5,566
"R.NADAL",0.443853426749409,0.443846157760437,0.0136264897340962,0.416883161743892,0.470489559105453,0.399880124659202,0.400075907299303,0.012878578189724,0.37528425076435,0.426026067900374,0.156135776089919,0.15607793494026,0.00971730049156876,0.137474717558021,0.175482549066162,"Men",13,1323
"S.BOLELLI",0.409248888322361,0.409647373233911,0.0336255760760536,0.346066842612886,0.477064360881477,0.386645427662861,0.386604866487523,0.0316401348408269,0.324782442668199,0.447889472634507,0.202169539399358,0.203747760278567,0.0340072705979048,0.141922130273673,0.274542613729393,"Men",1,111
"S.CARUSO",0.382579086762081,0.382588227217792,0.0332470966426527,0.317634159615077,0.446412391201269,0.425885389734671,0.426173749044606,0.0333422303418248,0.362003287155815,0.493212430460971,0.189288001680072,0.191238023737602,0.0340218417438688,0.130561195972248,0.261740801872119,"Men",1,101
"S.KORDA",0.488982432211304,0.490654107727045,0.0374996214033215,0.420743963265768,0.567266849702486,0.357358264841613,0.356855343242389,0.0346328357079345,0.288052549323888,0.423251066896329,0.149908431141467,0.152490549030566,0.0318499839412366,0.096151055116937,0.221086487079893,"Men",1,82
"S.TRAVAGLIA",0.466146068687198,0.466646130309544,0.0363725169058314,0.396606400289367,0.538742504826677,0.406417511245998,0.405482011302578,0.034969175306571,0.335059656332079,0.474778353559839,0.12513729957976,0.127871858387878,0.0313170141444182,0.0736986435386957,0.196885320676774,"Men",1,70
"S.TSITSIPAS",0.410577625317508,0.410758923213585,0.0139706132808873,0.383740936593933,0.43806177591523,0.423445178997763,0.42374164488234,0.01417568515267,0.396412198212515,0.451674563111625,0.165190254084926,0.165499431904076,0.0105397165272878,0.145531053493216,0.186567861268414,"Men",9,1198
"S.WAWRINKA",0.447835641399683,0.447877210002341,0.0159038522524435,0.417335272077433,0.478899303303655,0.453410108236629,0.45320821525471,0.0155229584606998,0.422750049563769,0.483451115396195,0.0985038509523599,0.0989145747429482,0.0098185662246103,0.0802750691357278,0.118767390328327,"Men",5,887
"T.DANIEL",0.494307151080076,0.494766130152966,0.0351954794959001,0.428295888213295,0.567508825964824,0.394150054739831,0.393585153144516,0.0327210271754262,0.326689924397372,0.456366723245609,0.109565461675611,0.111648716702518,0.0252508578204147,0.0685393564359162,0.165168404298493,"Men",1,96
"T.PAUL",0.405708172109108,0.405823722872639,0.0301125794124567,0.343591493776086,0.465586055405593,0.469037130658435,0.469284519181901,0.0307734772610131,0.410842678196401,0.532627007516614,0.123480773085374,0.12489175794546,0.0230672091064756,0.0835145749871783,0.173939995218248,"Men",1,147
"V.POSPISIL",0.435416763164126,0.435872340803647,0.0314997671601265,0.375038372790317,0.497107021496416,0.430386745463725,0.430408499835351,0.030187048424978,0.371495737076767,0.491376189339998,0.131935447201602,0.133719159361002,0.0250119258817886,0.0895479937881173,0.187323966376245,"Men",1,140
"Y.HANFMANN",0.442400607383503,0.442227293846426,0.0326617447163434,0.379579578749996,0.506451625324123,0.438832229924053,0.439459651183218,0.0321100031418198,0.378957737822885,0.506684433606991,0.115916409944561,0.118313054970355,0.0262696021299443,0.073104347089234,0.174768630562837,"Men",1,106
"Y.MADEN",0.357617617408535,0.357350006779579,0.0340488040140804,0.290273472738357,0.423692847870988,0.441436622309061,0.442451058599013,0.0355037927754292,0.37494091410462,0.513810571639972,0.198685575318262,0.200198934621408,0.0353168593402314,0.137611638798831,0.275040164140338,"Men",1,90
"A.ANISIMOVA",0.348010576732056,0.34786998893326,0.0252482445317659,0.297876658213872,0.397560731355338,0.409813834553752,0.410390254721352,0.0250608234796533,0.362103053240032,0.460330250000812,0.241060183978743,0.241739756345388,0.0232232292264737,0.197378472911076,0.288312453181416,"Women",4,319
"A.BARTY",0.447104565501573,0.447293630185365,0.0226328198250566,0.403024158954996,0.491812366372561,0.403285272322092,0.403387893139548,0.0216084825943619,0.361485598545751,0.447470954028349,0.148696101005185,0.149318476675087,0.0163993439827133,0.118536716763505,0.182872974706904,"Women",5,438
"A.BLINKOVA",0.376631510592736,0.377648871624615,0.0399321243977591,0.300194523454776,0.456391797075107,0.354941652073639,0.354684816784358,0.0386175620211499,0.283398561773169,0.431427998175893,0.266426794810118,0.267666311591026,0.0399909183986538,0.194637383335082,0.349680980746591,"Women",1,94
"A.BOGDAN",0.389404927455481,0.389660334002029,0.040597803823497,0.31115781365106,0.47009611068464,0.300112233641445,0.30135175689938,0.0358657295787115,0.233666620831931,0.372914023115678,0.308158321708366,0.308987909098591,0.0407423227659688,0.232721664380397,0.391649547380032,"Women",1,104
"A.CORNET",0.312397309669149,0.313493604980038,0.0427678529017573,0.234059264731065,0.400743060502863,0.410919872853925,0.411995262053487,0.0432808928979942,0.328789971261244,0.5016398724018,0.272814762602089,0.274511132966475,0.0451986608530082,0.189882688842768,0.368624317746139,"Women",1,74
